Folder, Filename, Result, ExitCode, Time, Memory
t6, f39, Realizable, 0, 0.00, 0.01
t6, f40, Realizable, 0, 0.00, 0.01
t6, f41, Realizable, 0, 0.00, 0.01
t6, f42, Realizable, 0, 0.00, 0.01
t6, f43, Stopped, 124, 30.00, 0.56
t6, f44, Unrealizable, 0, 0.02, 0.14
t6, f45, Realizable, 0, 0.00, 0.01
t6, f46, Unrealizable, 0, 0.00, 0.04
t6, f47, Realizable, 0, 0.00, 0.01
t6, f48, Stopped, 124, 30.01, 3.59
t6, f49, Realizable, 0, 0.00, 0.01
t6, f50, Realizable, 0, 0.00, 0.02
t6, f51, Realizable, 0, 0.00, 0.01
t6, f52, Realizable, 0, 0.00, 0.04
t6, f53, Realizable, 0, 0.00, 0.01
t6, f54, Realizable, 0, 0.00, 0.01
t6, f55, Unrealizable, 0, 0.00, 0.02
t6, f56, Realizable, 0, 0.02, 0.15
t6, f57, Realizable, 0, 0.00, 0.01
t6, f58, Realizable, 0, 0.00, 0.01
t6, f59, Realizable, 0, 0.00, 0.02
t6, f60, Realizable, 0, 0.00, 0.01
t6, f61, Stopped, 124, 30.00, 1.60
t6, f62, Realizable, 0, 0.02, 0.01
t6, f63, Realizable, 0, 0.00, 0.01
t6, f64, Realizable, 0, 0.00, 0.01
t6, f65, Realizable, 0, 0.00, 0.02
t6, f66, Unrealizable, 0, 0.00, 0.02
t6, f67, Realizable, 0, 0.00, 0.01
t6, f68, Realizable, 0, 0.00, 0.01
t6, f69, Realizable, 0, 0.01, 0.02
t6, f70, Realizable, 0, 0.00, 0.01
t6, f71, Realizable, 0, 0.00, 0.01
t6, f72, Realizable, 0, 0.00, 0.01
t6, f73, Realizable, 0, 0.00, 0.04
t6, f74, Realizable, 0, 0.00, 0.02
t6, f75, Unrealizable, 0, 0.00, 0.01
t6, f76, Unrealizable, 0, 0.00, 0.01
t6, f77, Unrealizable, 0, 0.03, 0.05
t6, f78, Realizable, 0, 0.00, 0.01
t6, f79, Realizable, 0, 0.00, 0.01
t6, f80, Stopped, 124, 30.00, 0.93
t6, f81, Realizable, 0, 0.00, 0.01
t6, f82, Stopped, 124, 30.00, 1.17
t6, f83, Stopped, 124, 30.00, 0.74
t6, f84, Realizable, 0, 0.00, 0.01
t6, f85, Realizable, 0, 0.00, 0.01
t6, f86, Realizable, 0, 0.00, 0.01
t6, f87, Stopped, 124, 30.00, 0.25
t6, f88, Realizable, 0, 0.00, 0.01
t6, f89, Stopped, 124, 30.00, 0.61
t6, f90, Realizable, 0, 0.00, 0.01
t6, f91, Unrealizable, 0, 0.00, 0.01
t6, f92, Stopped, 124, 30.00, 0.90
t6, f93, Stopped, 124, 30.00, 0.31
t6, f94, Realizable, 0, 0.00, 0.01
t6, f95, Unrealizable, 0, 0.00, 0.02
t6, f96, Realizable, 0, 0.00, 0.01
t6, f97, Realizable, 0, 0.00, 0.02
t6, f98, Realizable, 0, 0.00, 0.01
t6, f99, Realizable, 0, 0.00, 0.01
t6, f100, Unrealizable, 0, 0.02, 0.07
t6, f101, Realizable, 0, 0.00, 0.01
t6, f102, Realizable, 0, 0.00, 0.01
t6, f103, Realizable, 0, 0.00, 0.01
t6, f104, Realizable, 0, 0.00, 0.01
t6, f105, Realizable, 0, 0.00, 0.01
t6, f106, Realizable, 0, 0.00, 0.01
t6, f107, Realizable, 0, 0.00, 0.01
t6, f108, Realizable, 0, 0.00, 0.01
t6, f109, Realizable, 0, 0.00, 0.01
t6, f110, Realizable, 0, 0.00, 0.01
t6, f111, Stopped, 124, 30.00, 1.30
t6, f112, Realizable, 0, 0.00, 0.01
t6, f113, Realizable, 0, 0.00, 0.01
t6, f114, Realizable, 0, 0.00, 0.01
t6, f115, Unrealizable, 0, 0.13, 0.18
t6, f116, Realizable, 0, 0.00, 0.01
t6, f117, Realizable, 0, 0.00, 0.01
t6, f118, Unrealizable, 0, 0.00, 0.02
t6, f119, Realizable, 0, 0.00, 0.01
t6, f120, Realizable, 0, 0.00, 0.01
t6, f121, Realizable, 0, 0.00, 0.01
t6, f122, Realizable, 0, 0.00, 0.01
t6, f123, Realizable, 0, 0.00, 0.01
t6, f124, Stopped, 124, 30.00, 0.33
t6, f125, Stopped, 124, 30.00, 0.62
t6, f126, Realizable, 0, 0.00, 0.01
t6, f127, Realizable, 0, 0.00, 0.01
t6, f128, Unrealizable, 0, 0.59, 0.17
t6, f129, Realizable, 0, 0.00, 0.01
t6, f130, Realizable, 0, 0.00, 0.01
t6, f131, Realizable, 0, 0.00, 0.01
t6, f132, Unrealizable, 0, 0.02, 0.04
t6, f133, Realizable, 0, 0.00, 0.01
t6, f134, Realizable, 0, 0.00, 0.01
t6, f135, Realizable, 0, 0.00, 0.01
t6, f136, Unrealizable, 0, 0.01, 0.02
t6, f137, Realizable, 0, 0.00, 0.01
t6, f138, Realizable, 0, 0.00, 0.01
t6, f139, Realizable, 0, 0.00, 0.01
t6, f140, Unrealizable, 0, 1.21, 0.68
t6, f141, Realizable, 0, 0.00, 0.01
t6, f142, Unrealizable, 0, 0.00, 0.01
t6, f143, Realizable, 0, 0.00, 0.01
t6, f144, Realizable, 0, 0.00, 0.01
t6, f145, Stopped, 124, 30.01, 5.86
t6, f146, Realizable, 0, 0.04, 0.07
t6, f147, Stopped, 124, 30.00, 0.25
t6, f148, Realizable, 0, 0.00, 0.01
t6, f149, Realizable, 0, 0.01, 0.01
t6, f150, Unrealizable, 0, 0.00, 0.02
t6, f151, Realizable, 0, 0.00, 0.01
t6, f152, Realizable, 0, 0.00, 0.01
t6, f153, Realizable, 0, 0.00, 0.01
t6, f154, Realizable, 0, 0.00, 0.01
t6, f155, Realizable, 0, 0.00, 0.01
t6, f156, Realizable, 0, 0.00, 0.01
t6, f157, Realizable, 0, 0.00, 0.01
t6, f158, Unrealizable, 0, 0.08, 0.06
t6, f159, Stopped, 124, 30.01, 2.14
t6, f160, Realizable, 0, 0.00, 0.01
t6, f161, Realizable, 0, 0.00, 0.01
t6, f162, Realizable, 0, 0.00, 0.01
t6, f163, Realizable, 0, 0.00, 0.01
t6, f164, Realizable, 0, 0.00, 0.01
t6, f165, Unrealizable, 0, 0.02, 0.01
t6, f166, Realizable, 0, 0.00, 0.01
t6, f167, Realizable, 0, 0.00, 0.01
t6, f168, Realizable, 0, 0.00, 0.01
t6, f169, Realizable, 0, 0.00, 0.01
t6, f170, Stopped, 124, 30.00, 0.51
t6, f171, Realizable, 0, 0.00, 0.01
t6, f172, Realizable, 0, 0.00, 0.01
t6, f173, Unrealizable, 0, 0.00, 0.01
t6, f174, Realizable, 0, 0.00, 0.01
t6, f175, Realizable, 0, 0.00, 0.01
t6, f176, Realizable, 0, 0.00, 0.01
t6, f177, Realizable, 0, 0.00, 0.01
t6, f178, Realizable, 0, 0.00, 0.01
t6, f179, Realizable, 0, 0.02, 0.01
t6, f180, Realizable, 0, 0.00, 0.01
