Folder, Filename, Result, ExitCode, minimizeTime, lydiaPreprocessTime, Time, Memory, lastSearchedDfaSz
syft_2, 044, Unrealizable, 0, 0.000, 0.073, 1.908, 0.319, 260
syft_2, 045, Unrealizable, 0, 0.000, 0.076, 51.322, 1.234, 1093
syft_2, 046, Unrealizable, 0, 0.000, 0.049, 0.108, 0.258, 20
syft_2, 047, Unrealizable, 0, 0.000, 0.074, 0.343, 0.265, 131
syft_2, 048, Unrealizable, 0, 0.000, 0.046, 129.899, 2.486, 2051
syft_2, 049, Unrealizable, 0, 0.000, 0.082, 21.936, 0.755, 553
syft_2, 050, Unrealizable, 0, 0.000, 0.077, 0.089, 0.256, 6
syft_2, 051, Unrealizable, 0, 0.000, 0.076, 4.740, 0.414, 401
syft_2, 052, Unrealizable, 0, 0.000, 0.078, 0.395, 0.281, 22
syft_2, 053, Realizable, 0, 0.000, 0.074, 0.103, 0.257, 71
syft_2, 054, Realizable, 0, 0.000, 0.025, 0.035, 0.256, 0
syft_2, 055, Realizable, 0, 0.000, 0.027, 0.037, 0.256, 0
syft_2, 056, Unrealizable, 0, 0.000, 0.047, 664.361, 9.075, 4099
syft_2, 057, Unrealizable, 0, 0.000, 0.074, 0.194, 0.265, 84
syft_2, 058, Unrealizable, 0, 0.000, 0.078, 4.807, 0.417, 295
syft_2, 059, Unrealizable, 0, 0.000, 0.076, 65.036, 1.345, 1028
syft_2, 060, Unrealizable, 0, 0.000, 0.081, 1708.360, 4.155, 2319
syft_2, 061, Realizable, 0, 0.000, 0.022, 0.031, 0.256, 0
syft_2, 062, Realizable, 0, 0.000, 0.023, 0.035, 0.257, 0
syft_2, 063, Unrealizable, 0, 0.000, 0.039, 7.085, 0.405, 579
syft_2, 064, Unrealizable, 0, 0.000, 0.059, 2.996, 0.302, 771
syft_2, 065, Unrealizable, 0, 0.000, 0.034, 1.116, 0.298, 388
syft_2, 066, Unrealizable, 0, 0.000, 0.051, 0.081, 0.257, 28
syft_2, 067, Unrealizable, 0, 0.000, 0.052, 0.125, 0.264, 20
syft_2, 068, Unrealizable, 0, 0.000, 0.064, 0.079, 0.272, 35
syft_2, 069, Realizable, 0, 0.000, 0.021, 0.036, 0.259, 0
syft_2, 070, Unrealizable, 0, 0.000, 0.052, 8.609, 0.470, 1027
syft_2, 071, Unrealizable, 0, 0.000, 0.056, 14.565, 0.416, 1539
syft_2, 072, Unrealizable, 0, 0.000, 0.036, 0.207, 0.259, 131
